,날짜,n-gram,UpDown
13,2017-12-04,"소비자/NNG;물가/NNG;상승률/NNG;최저/NNG, 가계/NNG;부채/NNG;금리/NNG;인상/NNG, 하락/NNG;이어지/VV;금리/NNG;인상/NNG, 서비스업/NNG;생산/NNG;감소/NNG, 중단기물/NNG;금리/NNG;하락/NNG, 금리/NNG;스프레드/NNG;확대/NNG, 국고채/NNG;금리/NNG;하락/NNG, 수출/NNG;원화/NNG;강세/NNG, 수출/NNG;부진/NNG;우려/NNG, 산업/NNG;생산/NNG;감소/NNG, 소매/NNG;판매/NNG;감소/NNG, 단기/NNG;금리/NNG;하락/NNG, 내수/NNG;경기/NNG;개선/NNG, 근원/NNG;물가/NNG;상승/NNG, 기대/NNG;반영/NNG;상승/NNG, 금/NNG;금리/NNG;인상/NNG, 채권시장/NNG;강세/NNG, 하락/NNG;제한적/VAX, 물가/NNG;부진/NNG, 수출/NNG;증가/NNG, 요금/NNG;인하/NNG, 금리/NNG;상승/NNG, 하락/NNG;추세/NNG, 불확실성/NNG;높/VA, 완화/NNG;축소/NNG, 기대/NNG;높/VA, 우려/NNG;덜/VV, 투자/NNG;늘/VV",상승
14,2017-12-04,"수익성/NNG;재무/NNG;안정성/NNG;저하/NNG, 크레딧/NNG;시장/NNG;금리/NNG;인상/NNG, 전망/NNG;안정/NNG;부정적/VAX;하향/NNG, 전망/NNG;하향/NNG;전망/NNG;하향/NNG, 크레딧/NNG;가격/NNG;매력/NNG;높/VA, 신용스프레드/NNG;확대/NNG;제한적/VAX, 크레딧/NNG;투자심리/NNG;개선/NNG, 당분간/MAG;채권시장/NNG;강세/NNG, 크레딧/NNG;시장/NNG;강세/NNG, 크레딧/NNG;시장/NNG;약세/NNG, 재무/NNG;안정성/NNG;개선/NNG, 자산/NNG;건전성/NNG;개선/NNG, 수익성/NNG;개선/NNG;제한/NNG, 선제/NNG;유동성/NNG;확보/NNG, 투자/NNG;수요/NNG;확보/NNG, 투자/NNG;수요/NNG;감소/NNG, 금리/NNG;인상/NNG;아니/VCN, 발행/NNG;증가/NNG;우려/NNG, 상향/NNG;등급/NNG;상향/NNG, 상향/NNG;전망/NNG;상향/NNG, 하향/NNG;등급/NNG;하향/NNG, 투자/NNG;매력/NNG;높/VV, 투자/NNG;매력/NNG;높/VA, 높/VA;재무/NNG;부담/NNG, 영업현금흐름/NNG;증가/NNG, 기업/NNG;많/VA;않/VX, 투자심리/NNG;긍정적/VAX, 개선/NNG;쉽/VA;않/VX, 불확실성/NNG;해소/NNG, 재무구조/NNG;개선/NNG, 긍정적/VAX;강세/NNG, 전망/NNG;부정적/VAX, 수익성/NNG;회복/NNG, 악화/NNG;우려/NNG, 수요/NNG;개선/NNG, 금리/NNG;하향/NNG, 예상/NNG;강세/NNG, 기대/NNG;저하/NNG, 업황/NNG;호조/NNG, 투자/NNG;축소/NNG, 개선/NNG;안정/NNG, 수요/NNG;확대/NNG, 가격/NNG;호조/NNG, 자본/NNG;확충/NNG, 개선/NNG;추세/NNG, 회복/NNG;추세/NNG, 위험/NNG;완화/NNG, 산업/NNG;양호/NNG, 요금/NNG;인상/NNG, 마진/NNG;감소/NNG, 실적/NNG;저하/NNG, 저하/NNG;추세/NNG, 적자/NNG;확대/NNG",상승
15,2017-12-01,"인상/NNG;금리/NNG;인상/NNG;금리/NNG;인상/NNG, 인상/NNG;속도/NNG;금리/NNG;인상/NNG, 금리/NNG;인상/NNG;물가/NNG;상승/NNG, 인플레이션/NNG;기대/NNG;위험/NNG, 금융안정/NNG;금리/NNG;인상/NNG, fed/NNG;금리/NNG;인상/NNG, 내외/NNG;금리갭/NNG;확대/NNG, 농산물/NNG;가격/NNG;안정/NNG, 점차/MAG;물가/NNG;안정/NNG, 차기/NNG;금리/NNG;인상/NNG, 채권/NNG;금리/NNG;인상/NNG, 물가/NNG;상승/NNG;자신/NNG, 수출/NNG;성장/NNG;견인/NNG, 수요/NNG;압력/NNG;높/VA, 금리/NNG;영향/NNG;줄/VV, 통화정책/NNG;성장/NNG, 주택가격/NNG;안정/NNG, 변동성/NNG;과도/NNG, 경제/NNG;긍정적/VAX, 하락/NNG;부작용/NNG, 내외/NNG;성장/NNG, 원화/NNG;강세/NNG, 경기/NNG;호조/NNG",상승
16,2017-12-01,"금리/NNG;인상/NNG;아니/VCN;금리/NNG;인상/NNG, 금리/NNG;인상/NNG;속도/NNG;우려/NNG, 완만/NNG;금리/NNG;인상/NNG, 고용시장/NNG;회복/NNG, 불확실성/NNG;높/VA, 견인/NNG, 부담/NNG",상승
17,2017-12-01,"가계/NNG;부채/NNG;금리/NNG;인상/NNG, 당분간/MAG;채권시장/NNG;강세/NNG, 인상/NNG;금리/NNG;인상/NNG, 전망/NNG;불확실성/NNG;높/VA, 내수/NNG;경기/NNG;개선/NNG, 근원/NNG;물가/NNG;상승/NNG, 하락/NNG;추세/NNG, 완화/NNG;축소/NNG",상승
18,2017-11-30,"금리/NNG;인상/NNG;시장/NNG;금리/NNG;상승/NNG, 물가/NNG;상승/NNG;압력/NNG;강화/NNG, 기대/NNG;지수/NNG;예상/NNG;상회/NNG, 경기/NNG;회복/NNG;기대/NNG;높/VA, 금리/NNG;경기/NNG;회복/NNG, 경제/NNG;지표/NNG;호조/NNG, 경제/NNG;완만/NNG;개선/NNG, 전망/NNG;금리/NNG;인상/NNG, 기대/NNG;높/VA;상승/NNG, 채권시장/NNG;약세/NNG",상승
19,2017-11-30,"그럼에도/VA;불구/NNG;금리/NNG;인상/NNG, 금리/NNG;인하/NNG;사이클/NNG;종료/NNG, 금리/NNG;인상/NNG;금리/NNG;인하/NNG, 금리/NNG;이미/MAG;금리/NNG;인상/NNG, 기대/NNG;시장/NNG;금리/NNG;하락/NNG, 금리/NNG;인상/NNG;가능성/NNG;높/VA, 금리/NNG;인상/NNG;대응/NNG;않/VX, 금리/NNG;인상/NNG;머/VV;않/VX, 단기영역/NNG;금리/NNG;하락/NNG, 금리/NNG;강세/NNG;제한적/VAX, 금리/NNG;하락/NNG;제한적/VAX, gdp/NNG;갭/NNG;플러스/NNG, 선제/NNG;금리/NNG;인상/NNG, 단기/NNG;금리/NNG;강세/NNG, 금리/NNG;하락/NNG;제한/NNG, 원리금/NNG;부담/NNG, 금리/NNG;상승/NNG, 가격/NNG;최대/NNG, 금리/NNG;오르/VV",상승
20,2017-11-29,"전망/NNG;채권시장/NNG;약세/NNG, 경제/NNG;지표/NNG;양호/NNG, 지수/NNG;예상/NNG;상회/NNG, 채권시장/NNG;강세/NNG, 채권시장/NNG;혼조/NNG, 폐쇄/NNG;불확실성/NNG, 금리/NNG;하락/NNG, 예상/NNG;경계/NNG, 금리/NNG;되돌/VV",상승
21,2017-11-29,"인상/NNG;기대/NNG;시장/NNG;금리/NNG;상승/NNG, 회사채/NNG;스프레드/NNG;갭/NNG;확대/NNG, 수익성/NNG;자산/NNG;건전성/NNG;저하/NNG, 단기물/NNG;금리/NNG;소폭/MAG;상승/NNG, 은행채/NNG;스프레드/NNG;축소/NNG, 여전채/NNG;스프레드/NNG;축소/NNG, 은행채/NNG;스프레드/NNG;고점/NNG, 단기물/NNG;스프레드/NNG;축소/NNG, 유동성비율/NNG;규제/NNG;강화/NNG, 크레딧/NNG;스프레드/NNG;축소/NNG, 자동차금융/NNG;시장/NNG;성장/NNG, 중기물/NNG;스프레드/NNG;축소/NNG, 은행채/NNG;수급/NNG;부담/NNG, 자산/NNG;건전성/NNG;양호/NNG, 건전성/NNG;소폭/MAG;악화/NNG, 자산/NNG;건전성/NNG;악화/NNG, 강하/VA;스프레드/NNG;축소/NNG, 회사채/NNG;수요예측/NNG;줄/VV, 전망/NNG;하향/NNG;부정적/VAX, 고정비/NNG;부담/NNG;증가/NNG, 재무/NNG;안정성/NNG;우려/NNG, 재무/NNG;안정성/NNG;개선/NNG, 완화/NNG;금리/NNG;인상/NNG, 자산/NNG;증가/NNG;둔화/NNG, 자산/NNG;성장/NNG;둔화/NNG, 전망/NNG;하향/NNG;안정/NNG, 우려/NNG;등급/NNG;하향/NNG, 하향/NNG;등급/NNG;하향/NNG, 재무/NNG;부담/NNG;완화/NNG, 재무/NNG;부담/NNG;확대/NNG, 투자심리/NNG;안정/NNG, 최저임금/NNG;인상/NNG, 영업이익/NNG;회복/NNG, 회복/NNG;불확실성/NNG, 영업이익/NNG;개선/NNG, 고유동성/NNG;위험/NNG, 단기물/NNG;선호/NNG, 업황/NNG;부정적/VAX, 건전성/NNG;강화/NNG, 저하/NNG;제한적/VAX, 단기물/NNG;축소/NNG, 부정적/VAX;안정/NNG, 안정/NNG;부정적/VAX, 개선/NNG;제한적/VAX, 성장/NNG;부정적/VAX, 유류비/NNG;부담/NNG, 전망/NNG;부정적/VAX, 비용/NNG;통제/NNG, 위험자산/NNG;높/VA, 악화/NNG;아니/VCN, 비용/NNG;증가/NNG, 업황/NNG;둔화/NNG, 금리/NNG;하단/NNG, 건설/NNG;강세/NNG, 산업/NNG;하향/NNG, 수주/NNG;감소/NNG, 매출/NNG;감소/NNG, 위험/NNG;점증/NNG, 잠재/NNG;부담/NNG, 부진/NNG;확대/NNG, 연체율/NNG;높/VA, 하락/NNG;되돌/VV, 개선/NNG;어렵/VA, 높/VA;성장/NNG",상승
22,2017-11-28,"주택매매/NNG;예상/NNG;상회/NNG, 금리/NNG;변동성/NNG;제한/NNG, 금리/NNG;소폭/MAG;상승/NNG, 예상/NNG;상회/NNG;증가/NNG, 세제개편안/NNG;불확실성/NNG, 채권시장/NNG;혼조/NNG, 예상/NNG;경계/NNG",상승
23,2017-11-27,"제조업/NNG;pmi/NNG;예상/NNG;하회/NNG, 유로존/NNG;정치/NNG;위험/NNG, 정치/NNG;위험/NNG;우려/NNG, 위험/NNG;우려/NNG;완화/NNG, 채권시장/NNG;경계/NNG, 채권시장/NNG;약세/NNG, 금리/NNG;상승/NNG",상승
24,2017-11-27,"금리/NNG;인상/NNG;예상/NNG;금리/NNG;인상/NNG, 금리/NNG;전망/NNG;금리/NNG;인상/NNG, 금리/NNG;예상/NNG;금리/NNG;인상/NNG, 금리/NNG;인상/NNG;인하/NNG, 가격/NNG;금리/NNG;상승/NNG, 인상/NNG;불가능/NNG;않/VX, 재정/NNG;완화/NNG, 인하/NNG;효과/NNG, 인상/NNG;아니/VCN, 예상/NNG;완화/NNG",상승
25,2017-11-23,"fed/NNG;단기/NNG;금리/NNG;인상/NNG, 금리/NNG;인상/NNG;속도/NNG;둔화/NNG, 금리/NNG;인상/NNG;가능성/NNG;높/VA, 전망/NNG;채권시장/NNG;강세/NNG, 주택매매/NNG;예상/NNG;상회/NNG, 국고채/NNG;금리/NNG;강세/NNG, 일시적/VAX;가능성/NNG;높/VA, 세제개편안/NNG;불확실성/NNG, 인플레이션/NNG;일시적/VAX, 채권시장/NNG;혼조/NNG, 금리/NNG;비둘기/NNG",상승
26,2017-11-21,"가계/NNG;부채/NNG;금리/NNG;인상/NNG, 금리/NNG;인상/NNG;예상/NNG;높/VA, 전망/NNG;금리/NNG;인상/NNG, 높/VA;경기/NNG;회복/NNG, 수요/NNG;나쁘/VA;않/VX, 공급/NNG;부담/NNG",상승
27,2017-11-21,"국제/NNG;유가/NNG;opec/NNG;감산/NNG, 채권시장/NNG;소폭/MAG;강세/NNG, 경제/NNG;지표/NNG;호조/NNG, 세제개편안/NNG;불확실성/NNG, 채권시장/NNG;약세/NNG, 불확실성/NNG;상승/NNG, 금리/NNG;약세/NNG",상승
28,2017-11-20,"채권시장/NNG;소폭/MAG;강세/NNG, 장기물/NNG;금리/NNG;하락/NNG, 단기물/NNG;금리/NNG;상승/NNG, 금리/NNG;인상/NNG;경계/NNG, 세제개편안/NNG;불확실성/NNG, 달러인덱스/NNG;강세/NNG, 채권시장/NNG;혼조/NNG, 불확실성/NNG;해소/NNG",상승
